Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"PTS 6-pyruvoyltetrahydropterin synthase"	D17400	16	P	51	P	66	P	42	P	105	P	114	P	78	P	70	P	20	P	74	P	51	P	21	P	26	P	115	P	89	P	136	P	109	P
"CRARF C4/C2 activating component of Ra-reactive factor"	D17525	0	A	-20	A	-14	A	-32	A	-4	A	-4	A	-3	A	-6	A	-14	A	-7	A	-4	A	-8	A	-2	A	-2	A	-2	A	-8	A	-11	A
"Drebrin E"	D17530	24	A	89	A	-6	A	109	P	1	A	3	A	6	A	18	A	26	P	74	P	37	A	45	P	46	P	136	P	107	P	90	P	120	P
"PROBABLE ATP-DEPENDENT RNA HELICASE P54"	D17532	0	A	9	A	10	A	2	A	7	A	7	A	4	A	10	A	-1	A	20	P	6	A	3	A	13	A	2	A	8	A	18	A	1	A
"DCT Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"	D17547	-3	A	-5	A	7	A	5	A	4	A	-3	A	5	A	-1	A	9	A	-1	A	1	A	3	A	2	A	0	A	3	A	1	A	4	A
"Zona-pellucida-binding protein (sp38)"	D17570_i	-8	A	-4	A	0	A	2	A	-5	A	4	A	-6	A	-6	A	-3	A	11	P	2	A	-4	A	-4	A	-9	A	-12	A	-6	A	12	P
"Zona-pellucida-binding protein (sp38)"	D17570_r	-1	A	0	A	0	A	-4	A	-6	A	3	A	-3	A	-3	A	-6	A	4	A	1	A	0	A	2	A	3	A	-2	A	2	A	2	A
"No cluster in current Unigene and no Genbank entry for D17716 (qualifier D17716)"	D17716	40	P	32	A	23	P	27	P	60	P	20	M	57	P	48	P	19	P	16	A	10	A	18	A	39	A	74	P	92	P	36	M	59	P
"KIAA0123 gene, partial cds"	D21064	43	A	4	A	29	A	-10	A	19	A	40	P	49	A	12	A	-8	A	-6	A	-3	A	-14	A	-4	A	36	P	27	A	65	P	22	A
"XP-C repair complementing protein (p58/HHR23B)"	D21090_i	47	P	68	P	66	P	54	P	119	P	162	P	180	P	160	P	63	P	73	P	44	P	65	P	106	P	103	P	99	P	95	P	69	P
"XP-C repair complementing protein (p58/HHR23B)"	D21090_r	25	P	41	P	51	P	41	P	78	P	85	P	65	P	85	P	32	P	50	P	62	P	35	P	69	P	69	P	58	P	52	P	39	P
"Motor protein"	D21094	202	P	187	P	204	P	98	P	54	P	104	P	80	P	32	P	185	P	164	P	168	P	88	P	120	P	74	P	111	P	107	P	107	P
"KIAA0031 gene"	D21163	54	P	94	M	12	M	30	P	3	A	7	A	7	A	8	A	13	A	22	M	37	A	24	P	24	M	22	P	14	M	17	A	30	P
"Estrogen responsive finger protein"	D21205	19	A	22	A	17	A	0	A	4	A	11	A	10	A	8	A	15	A	12	A	22	A	34	P	35	P	14	A	3	A	8	A	0	A
"Protein tyrosine phosphatase 1E (PTP1E) mRNA"	D21209_i	-5	A	-3	A	-3	A	3	A	-2	A	4	A	1	A	0	A	8	A	19	P	17	A	17	P	16	A	-11	A	-1	A	0	A	-2	A
"Protein tyrosine phosphatase 1E (PTP1E) mRNA"	D21209_r	-2	A	-6	A	-2	A	-6	A	1	A	1	A	0	A	3	A	13	P	20	P	11	A	11	A	21	P	6	A	-3	A	-1	A	-1	A
"HHR23A protein"	D21235	31	P	172	P	219	P	125	P	189	P	212	P	159	P	167	P	117	P	100	P	159	P	172	P	117	P	462	P	395	P	462	P	277	P
"C3G protein"	D21239	44	A	26	A	12	A	26	A	51	M	24	A	25	A	47	M	19	A	16	A	31	P	16	A	13	A	39	A	57	A	31	A	46	A
"60S RIBOSOMAL PROTEIN L23"	D21260	354	P	509	P	534	P	872	P	42	P	68	P	110	P	131	P	117	P	133	P	100	P	132	P	277	P	188	P	135	P	247	P	198	P
"SM22-ALPHA HOMOLOG"	D21261	1915	P	1278	P	1885	P	1104	P	472	P	695	P	641	P	720	P	145	P	248	P	319	P	244	P	195	P	617	P	496	P	496	P	598	P
"KIAA0035 gene, partial cds"	D21262	136	P	89	P	111	P	-4	A	24	P	66	P	87	P	3	A	110	P	25	P	30	P	15	P	27	P	91	P	75	P	62	P	24	P
"COL4A6 Collagen, type IV, alpha 6"	D21337	-3	A	-3	A	-5	A	-8	A	-1	A	-4	A	-16	A	-14	A	-10	A	-8	A	-6	A	-9	A	-3	A	-13	A	-18	A	-7	A	-3	A
"KIAA0028 gene, partial cds"	D21851	47	P	45	P	43	P	39	P	4	A	7	A	11	A	7	A	23	P	29	P	32	P	24	P	24	P	44	P	39	P	32	P	29	P
"KIAA0029 gene, partial cds"	D21852	96	P	64	P	19	P	53	P	8	A	0	A	6	P	9	A	83	P	60	P	72	P	59	P	41	P	139	P	108	P	149	P	98	P
"EUKARYOTIC INITIATION FACTOR 4A-LIKE NUK-34"	D21853_f	268	P	329	P	280	P	75	P	64	P	53	P	87	P	38	P	86	P	121	P	82	P	108	P	113	P	283	P	180	P	245	P	189	P
"BST-1"	D21878	6	A	17	P	12	A	-1	A	7	A	16	P	22	A	-5	A	1	A	-2	A	1	A	2	A	1	A	-1	A	3	A	-2	A	9	A
"HLCS Holocarboxylase synthetase (biotin-[proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)"	D23672	98	P	162	P	70	P	103	P	5	A	14	P	22	P	26	P	24	P	53	P	65	M	50	P	49	P	61	P	39	A	61	A	61	P
"KIAA0032 gene"	D25215_f	12	P	12	P	10	A	20	P	5	A	1	A	1	A	2	A	10	A	6	A	14	P	8	P	3	A	7	P	2	A	11	P	9	P
"KIAA0014 gene"	D25216	-23	A	8	A	20	A	5	A	-39	A	-18	A	-7	A	-37	A	-16	A	-15	A	-19	A	-23	A	-9	A	-13	A	-5	A	-18	A	-8	A
"KIAA0027 gene, partial cds"	D25217_i	58	P	85	P	54	P	22	A	55	P	63	P	114	P	31	A	447	P	263	P	98	P	84	P	82	P	8	A	37	P	18	A	20	A
"KIAA0027 gene, partial cds"	D25217_r	17	A	12	A	11	A	-3	A	9	A	20	M	24	A	18	M	75	P	14	P	-2	A	2	A	9	M	18	A	24	M	5	A	29	P
"KIAA0112 gene, partial cds"	D25218_f	13	P	29	P	17	P	1	A	50	P	88	P	61	P	26	P	2	A	8	A	15	P	10	P	12	P	16	P	19	P	12	A	11	A
"KIAA0112 gene, partial cds"	D25218_i	53	P	104	P	44	P	0	A	170	P	315	P	245	P	36	P	12	A	10	A	30	P	13	A	18	P	24	P	21	P	14	A	11	A
"ADRA1C Adrenergic, alpha-1C-, receptor"	D25235	-9	A	-22	A	1	A	4	A	3	A	-5	A	6	A	0	A	-6	A	4	A	1	A	-8	A	7	A	4	A	3	A	3	A	-4	A
"KIAA0036 gene"	D25278	32	P	66	P	34	P	49	P	7	A	3	A	3	A	-1	A	3	A	20	P	16	A	18	A	22	P	37	P	21	P	31	P	24	P
"Integrin alpha subunit"	D25303	15	A	41	A	13	A	14	A	4	A	4	A	0	A	0	A	7	A	-4	A	7	A	4	A	13	A	5	A	6	A	4	A	0	A
"KIAA0006 gene, partial cds"	D25304	69	P	74	P	68	P	37	P	12	A	12	A	20	P	21	P	86	P	49	P	86	P	77	P	67	P	92	P	96	P	92	P	182	P
"PTGIR Prostaglandin I2 (prostacyclin) receptor (IP)"	D25418	7	A	11	A	9	A	8	A	8	A	10	A	9	A	37	P	18	P	23	A	17	P	18	P	18	P	23	P	13	A	-1	A	16	M
"KIAA0037 gene"	D25538	18	P	28	P	5	A	33	P	6	A	-1	A	7	A	35	P	13	A	42	P	26	P	62	P	119	P	40	P	23	P	35	P	46	P
"KIAA0040 gene"	D25539	4	A	0	A	5	A	-4	A	0	A	1	A	0	A	1	A	-15	A	-5	A	0	A	1	A	-1	A	-8	A	-1	A	-1	A	2	A
"KIAA0039 gene, partial cds"	D26018	149	P	185	P	142	P	58	P	6	A	16	P	32	P	8	A	60	P	44	P	67	P	66	P	53	P	160	P	152	P	125	P	82	P
"KIAA0033 gene, partial cds"	D26067	39	P	61	P	89	P	91	P	2	A	10	A	7	A	14	P	23	P	53	P	56	P	54	P	57	P	56	P	47	P	59	P	42	P
"KIAA0038 gene, partial cds"	D26068_f	738	P	499	P	827	P	674	P	188	P	186	P	221	P	227	P	539	P	551	P	408	P	563	P	530	P	780	P	478	P	703	P	640	P
"KIAA0041 gene, partial cds"	D26069	33	P	35	P	33	P	37	P	24	P	41	P	49	P	45	P	25	P	37	P	47	P	42	P	78	P	46	P	43	P	33	P	113	P
"Type 1 inositol 1,4,5-trisphosphate receptor"	D26070	11	A	16	P	29	P	54	P	4	A	3	A	15	P	9	A	2	A	0	A	0	A	10	A	12	A	2	A	0	A	0	A	2	A
"ZFM1 protein alternatively spliced product"	D26121	-3	A	-34	A	-6	A	27	A	-2	A	2	A	2	A	-1	A	8	A	6	A	10	A	-2	A	8	A	-6	A	9	A	-11	A	-2	A
"CHDR Chlordecone reductase"	D26125_f	19	A	3	A	13	A	5	A	6	A	-5	A	-2	A	11	A	8	A	4	A	6	A	5	A	2	A	-1	A	0	A	12	A	0	A
"RNS1 Ribonuclease A (pancreatic)"	D26129_f	129	M	138	M	57	A	63	P	6	A	16	A	12	A	37	P	31	A	30	A	55	A	51	A	21	A	67	A	-1	A	23	A	36	A
"DAGK3 Diacylglycerol kinase, gamma (90kD)"	D26135	-30	A	-18	A	-17	A	-51	A	-5	A	-14	A	-19	A	-9	A	-10	A	-8	A	-3	A	-9	A	-6	A	-16	A	-12	A	-9	A	-8	A
"LIMK1 LIM domain kinase 1"	D26309	-9	A	-24	A	-12	A	7	A	-2	A	1	A	-3	A	1	A	6	A	-9	A	-28	A	-1	A	-6	A	-11	A	-19	A	-16	A	-10	A
"Type 2 inositol 1,4,5-trisphosphate receptor"	D26350	-1	A	9	A	5	A	9	A	-2	A	5	A	-1	A	-1	A	3	A	2	A	16	P	18	P	50	P	-1	A	4	A	12	A	2	A
"KIAA0042 gene"	D26361	52	P	58	P	77	P	25	P	72	P	169	P	139	P	13	A	40	P	89	P	80	P	59	P	77	P	84	P	102	P	60	P	115	P
"KIAA0043 gene"	D26362	36	P	29	P	24	P	25	P	26	P	19	P	75	P	31	P	101	P	73	P	65	P	55	P	78	P	97	P	109	P	87	P	86	P
"EXCITATORY AMINO ACID TRANSPORTER 1"	D26443	11	A	9	A	13	A	44	P	12	A	22	P	29	P	20	P	3	A	4	A	-2	A	3	A	10	A	5	A	5	A	1	A	5	A
"PPP2R4 Protein phosphatase 2A, regulatory subunit B' alpha-1"	D26445	12	A	13	A	9	A	29	P	17	P	25	P	20	A	33	P	21	P	22	A	26	P	24	P	30	P	50	P	34	P	42	P	46	P
"KIAA0007 gene, partial cds"	D26488	21	P	63	P	44	P	6	A	16	P	8	A	7	A	7	A	23	P	27	P	19	P	16	P	17	P	47	P	28	P	41	P	24	P
"No cluster in current Unigene and no Genbank entry for D26528 (qualifier D26528)"	D26528	-1	A	-3	A	-2	A	-1	A	-4	A	3	A	-2	A	-3	A	6	A	-5	A	2	A	-2	A	1	A	-3	A	5	A	0	A	-2	A
"DLST Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)"	D26535	-11	A	26	P	15	A	14	A	19	P	36	P	14	A	37	A	30	P	25	P	20	P	-10	A	12	M	27	P	-5	M	20	P	20	A
"PROTEASOME BETA CHAIN PRECURSOR"	D26600_f	489	P	320	P	499	P	313	P	258	P	210	P	194	P	236	P	215	P	394	P	354	P	414	P	240	P	519	P	456	P	357	P	522	P
"DB1"	D28118	6	A	1	A	5	A	16	P	9	A	13	P	10	A	12	A	5	A	8	A	11	A	9	A	13	A	13	A	17	P	22	P	15	P
"Unknown product"	D28124	29	A	65	A	10	A	25	A	3	A	5	A	7	A	4	A	15	A	-1	A	1	A	8	A	10	A	33	A	14	A	4	A	20	A
"RPS11 Ribosomal protein S11"	D28137	228	P	251	P	147	P	82	P	145	P	186	P	257	P	206	P	48	P	55	P	94	P	248	P	347	P	23	P	37	P	25	P	30	P
"Putative chloride channel"	D28475	17	A	1	A	-16	A	34	A	-3	A	3	A	4	A	-3	A	-6	A	5	A	6	A	-9	A	31	A	-1	A	-11	A	2	A	-2	A
"PACE4 Paired basic amino acid cleaving system 4"	D28513	16	P	70	P	22	P	22	M	6	A	4	A	5	A	7	A	2	A	13	A	13	A	7	A	8	A	11	P	12	A	21	P	12	P
"Renal Na+-dependent phosphate cotransporter"	D28532	3	A	17	P	6	A	11	A	6	A	3	A	2	A	5	A	0	A	10	A	9	A	14	A	1	A	7	A	11	A	10	A	16	A
"GRM5 Glutamate receptor, metabotropic 5"	D28538	4	A	8	A	-6	A	5	A	2	A	2	A	-1	A	5	A	-3	A	-1	A	-5	A	-4	A	6	A	1	A	5	A	14	A	-7	A
"SP2 Sp2 transcription factor"	D28588	28	P	-4	A	26	P	24	A	4	A	13	P	18	P	0	A	30	P	38	P	21	P	22	P	33	P	23	P	26	P	37	P	20	P
"HYPOTHETICAL MYELOID CELL LINE PROTEIN 2"	D29641	31	P	30	P	55	P	31	P	43	P	86	P	92	P	34	P	53	P	37	P	40	P	33	P	56	P	69	P	51	M	59	P	55	P
"HYPOTHETICAL MYELOID CELL LINE PROTEIN 3"	D29642_f	19	A	37	A	11	A	25	P	-2	A	3	A	15	A	53	P	27	P	28	P	38	P	41	P	50	P	16	P	12	A	12	A	5	A
"HYPOTHETICAL MYELOID CELL LINE PROTEIN 3"	D29642_i	-7	A	-45	A	-35	A	-3	A	-8	A	-9	A	14	P	61	P	20	P	21	P	18	P	15	A	38	P	0	A	0	A	0	A	12	P
"HYPOTHETICAL MYELOID CELL LINE PROTEIN 3"	D29642_r_i	1	A	13	A	6	A	25	P	6	A	10	A	18	P	70	P	31	P	31	P	34	P	42	P	45	P	0	A	18	A	5	A	18	A
"HYPOTHETICAL MYELOID CELL LINE PROTEIN 5"	D29677	2	A	9	A	6	A	13	P	5	A	20	P	12	P	24	P	14	P	15	P	11	A	14	A	37	P	20	P	29	P	18	P	12	P
"TEC Tec protein tyrosine kinase"	D29767	-13	A	-12	A	-13	A	-7	A	4	A	1	A	3	A	8	A	10	A	0	A	-10	A	-2	A	11	A	10	A	-6	A	1	A	6	A
"GGTB2 Glycoprotein-4-beta-galactosyltransferase 2"	D29805	-5	A	-69	A	-13	A	-76	A	-20	A	-24	A	-40	A	-28	A	-10	A	-7	A	-6	A	-18	A	-5	A	-21	A	-11	A	3	A	-53	A
"MXS1 Membrane component, X chromosome, surface marker 1"	D29808	12	A	26	P	3	A	38	P	2	A	9	A	17	P	14	A	10	A	1	A	5	A	7	A	5	A	801	P	848	P	717	P	548	P
"Unknown product, partial cds"	D29810	-8	A	-14	A	7	A	-6	A	0	A	0	A	-1	A	-1	A	8	A	-6	A	-5	A	7	A	-2	A	-1	A	4	A	1	A	-3	A
"ANTITHROMBIN-III PRECURSOR"	D29832_f	-44	A	-31	A	-31	A	-30	A	-15	A	-13	A	-17	A	-18	A	-24	A	-24	A	-17	A	-21	A	-23	A	-14	A	-15	A	-17	A	-10	A
"ANTITHROMBIN-III PRECURSOR"	D29832_i	6	A	-1	A	-27	A	-14	A	-8	A	5	A	0	A	-5	A	-18	A	-13	A	-27	A	-22	A	-23	A	-12	A	-4	A	-6	A	-14	A
"Salivary proline rich peptide P-B"	D29833	5	A	4	A	3	A	5	A	5	A	1	A	3	A	2	A	6	A	8	A	6	A	0	A	15	A	7	A	3	A	9	A	7	A
"HYPOTHETICAL MYELOID CELL LINE PROTEIN 6"	D29954	30	P	26	P	35	P	7	A	4	A	11	A	4	A	2	A	34	P	52	P	57	P	17	P	34	P	23	P	45	P	31	P	15	P
"PROBABLE UBIQUITIN CARBOXYL-TERMINAL HYDROLASE"	D29956_f	9	A	17	P	17	P	26	P	22	P	32	P	23	P	36	P	12	A	11	P	17	P	16	P	22	P	12	P	14	P	10	P	14	P
"PROBABLE UBIQUITIN CARBOXYL-TERMINAL HYDROLASE"	D29956_i	22	P	25	P	28	P	28	P	11	A	16	P	1	A	8	A	11	A	14	A	6	A	14	A	10	A	10	A	20	P	25	P	28	P
"PROBABLE UBIQUITIN CARBOXYL-TERMINAL HYDROLASE"	D29956_r_i	14	A	7	A	20	P	12	A	6	A	17	A	4	A	11	A	11	A	17	P	11	A	8	A	17	P	19	A	24	P	23	P	16	P
"KIAA0116 gene, partial cds"	D29958_f	118	P	91	P	122	P	20	P	265	P	240	P	206	P	90	P	111	P	128	P	129	P	43	P	67	P	179	P	179	P	156	P	143	P
"TISSUE FACTOR PATHWAY INHIBITOR 2 PRECURSOR"	D29992	-4	A	4	A	-4	A	-1	A	1	A	-2	A	4	A	-4	A	-3	A	0	A	-1	A	3	A	1	A	3	A	4	A	9	A	-3	A
"PHOSPHATIDYLINOSITOL"	D30036	2	A	-7	A	15	A	3	A	8	A	6	A	16	A	15	A	2	A	4	A	3	A	-1	A	4	A	20	A	20	P	17	A	6	A
"PHOSPHATIDYLINOSITOL"	D30037	16	P	18	A	20	P	27	P	12	A	25	P	14	P	7	A	17	A	9	A	10	P	9	A	12	A	39	P	40	P	32	P	26	P
"EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2"	D30655	338	P	291	P	324	P	283	P	365	P	507	P	507	P	386	P	327	P	318	P	424	P	323	P	444	P	415	P	476	P	457	P	465	P
"CAMK4 Calcium/calmodulin-dependent protein kinase IV"	D30742	3	A	-3	A	-2	A	2	A	-7	A	-1	A	3	A	-14	A	2	A	-2	A	-3	A	0	A	0	A	31	P	31	P	28	P	15	P
"VIM Vimentin"	D30755	22	A	45	P	44	P	73	P	22	P	31	P	43	P	33	P	48	P	41	P	30	P	97	P	151	P	47	P	39	P	60	P	69	P
"KIAA0108 gene"	D30756	-6	A	-2	A	4	A	11	A	-5	A	8	A	-8	A	18	M	18	P	14	A	9	A	15	M	10	P	25	A	19	A	19	P	26	P
"KIAA0050 gene"	D30758_f	294	P	158	P	207	P	222	P	142	P	168	P	298	P	275	P	183	P	146	P	167	P	207	P	268	P	584	P	642	P	497	P	617	P
"KIAA0050 gene"	D30758_i	172	A	100	A	120	P	209	P	94	P	91	A	209	P	146	P	191	P	67	P	98	A	127	P	135	A	459	P	514	P	464	P	549	P
"GC box bindig protein"	D31716	10	P	25	P	29	P	56	P	2	A	8	P	2	A	27	P	5	A	2	A	-1	A	0	A	2	A	3	A	-2	A	0	A	-1	A
"KIAA0057 gene"	D31762	12	A	5	A	9	A	4	A	22	A	33	P	41	P	9	A	3	A	9	P	13	A	5	A	15	P	10	P	7	A	4	A	17	P
"KIAA0065 gene, partial cds"	D31763	12	A	11	A	8	A	8	A	5	P	11	A	12	P	15	P	9	A	11	A	13	A	9	A	16	P	30	P	22	P	21	P	26	P
"KIAA0061 gene, partial cds"	D31765	11	A	5	A	9	A	2	A	16	P	35	P	21	P	15	P	5	A	8	A	13	A	8	A	7	A	1	A	22	P	2	A	5	A
"PUTATIVE GLUCOSAMINE-6-PHOSPHATE ISOMERASE"	D31766	44	P	15	A	17	A	39	P	11	P	30	P	42	P	40	A	25	P	19	A	27	P	17	A	38	P	49	P	67	P	36	P	72	P
"KIAA0058 gene"	D31767	190	P	173	P	269	P	278	P	387	P	520	P	411	P	560	P	163	P	285	P	353	P	283	P	482	P	273	P	298	P	321	P	394	P
"Cadherin-6"	D31784	-7	A	-1	A	3	A	1	A	0	A	3	A	-1	A	-6	A	-2	A	-4	A	2	A	1	A	1	A	6	A	2	A	6	A	2	A
"AQP2 Aquaporin 2 (collecting duct)"	D31846	-26	A	1	A	-16	A	6	A	0	A	-7	A	-3	A	2	A	-14	A	-9	A	-3	A	-8	A	-7	A	4	A	5	A	8	A	4	A
"KIAA0059 gene"	D31883_f	-10	A	2	A	8	A	7	A	-3	A	23	A	23	A	-45	A	34	P	18	A	20	A	6	A	64	P	27	A	20	A	22	A	56	A
"KIAA0059 gene"	D31883_r_i	59	A	-37	A	44	A	-6	A	71	P	20	A	43	A	82	A	0	A	4	A	-28	A	0	A	-19	A	23	A	66	A	11	A	27	A
"KIAA0063 gene"	D31884	-18	A	-10	A	-5	A	26	A	-15	A	-4	M	-19	A	-27	A	7	A	-27	A	-14	A	-10	A	2	A	20	M	-19	A	53	P	27	P
"KIAA0069 gene, partial cds"	D31885	526	P	620	P	544	P	436	P	352	P	857	P	897	P	238	P	573	P	846	P	648	P	606	P	905	P	600	P	837	P	655	P	798	P
"KIAA0066 gene, partial cds"	D31886	9	P	10	A	9	A	27	P	13	P	36	P	17	P	24	P	15	P	25	P	29	P	26	P	53	P	21	P	24	P	9	A	24	P
"KIAA0062 gene, partial cds"	D31887_f	52	P	62	P	125	P	14	P	62	P	106	P	121	P	33	P	31	P	25	P	19	P	6	A	24	P	55	P	77	P	35	P	25	P
"KIAA0062 gene, partial cds"	D31887_i	220	P	209	P	269	P	29	P	76	P	171	P	202	P	118	P	54	P	52	P	36	P	32	P	23	P	80	P	85	P	54	P	49	P
"KIAA0062 gene, partial cds"	D31887_r_i	203	P	127	P	263	P	6	P	72	P	165	P	165	P	52	P	32	P	37	P	14	P	11	P	22	P	48	P	105	P	61	P	30	P
"KIAA0071 gene, partial cds"	D31888	9	A	7	A	22	P	6	A	15	P	24	P	13	A	21	P	19	A	25	P	25	P	13	A	56	P	1	A	32	A	66	P	9	A
"KIAA0072 gene, partial cds"	D31889_i	6	A	-2	A	2	A	-4	A	2	A	7	A	10	A	-2	A	5	A	3	A	3	A	1	A	-1	A	0	A	6	A	0	A	13	A
"KIAA0072 gene, partial cds"	D31889_r	3	A	3	A	0	A	1	A	2	A	3	A	0	A	0	A	2	A	-2	A	2	A	4	A	10	A	-2	A	7	A	-2	A	-2	A
"KIAA0067 gene"	D31891	25	M	34	P	22	P	36	P	21	P	30	P	15	A	25	A	23	P	21	P	26	P	25	P	48	P	12	A	24	A	13	A	29	P
"NCBP Nuclear cap binding protein, 80kD"	D32002	22	P	16	P	21	P	11	A	14	A	13	A	13	A	0	A	19	P	24	P	29	P	18	A	20	P	9	P	20	P	21	P	16	P
"THPO Thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)"	D32046	25	P	6	A	6	A	25	A	1	A	8	A	8	A	5	A	7	A	5	A	15	P	25	P	12	A	14	A	8	A	7	A	9	A
"PHOSPHORIBOSYLAMINE--GLYCINE LIGASE"	D32051	45	P	63	P	82	P	21	P	17	P	19	P	22	P	12	A	10	P	10	A	16	P	22	P	22	P	63	P	62	P	54	P	20	P
"ADRA1C Adrenergic, alpha-1C-, receptor"	D32201	8	A	0	A	-4	A	9	A	1	A	7	A	-1	A	-5	A	-3	A	-1	A	-1	A	3	A	9	A	7	A	-8	A	4	A	6	A
"ADRA1C Adrenergic, alpha-1C-, receptor"	D32202	3	A	3	A	-4	A	4	A	-3	A	4	A	10	M	0	A	1	A	2	A	5	A	10	A	2	A	2	A	16	P	6	A	6	A
"RNS4 Ribonuclease 4 (2',5'-oligoisoadenylate synthetase-dependent)"	D37931	3	A	3	A	5	A	4	A	1	A	-1	A	8	A	18	A	7	A	1	A	3	A	12	A	6	A	9	A	17	A	15	P	14	A
"Syntaxin 1A mRNA"	D37932	-5	A	-15	A	-3	A	-15	A	-4	A	0	A	-5	A	1	A	2	A	-5	A	-2	A	2	A	-3	A	-3	A	3	A	-2	A	0	A
"STX1B Syntaxin 1B"	D37933	-6	A	-25	A	1	A	-11	A	3	A	4	A	-3	A	8	A	-6	A	2	A	-1	A	-5	A	3	A	9	A	4	A	10	A	10	P
"PDGF receptor beta-like tumor suppressor (PRLTS)"	D37965	10	A	-6	A	9	A	8	A	1	A	-1	A	1	A	-4	A	0	A	5	A	9	A	-3	A	4	A	4	A	-7	A	0	A	-8	A
"RECQL RecQ protein-like (DNA helicase Q1-like)"	D37984	-3	A	5	A	-3	A	7	A	-1	A	2	A	0	A	1	A	9	A	3	A	12	P	0	A	10	A	8	A	6	A	2	A	5	A
"Ah-receptor, exon 7-9"	D38044	-26	A	-14	A	-21	A	-21	A	1	A	-2	A	-13	A	-5	A	-4	A	-5	A	-2	A	-4	A	-5	A	-1	A	-1	A	-3	A	1	A
"Prostacyclin synthase"	D38145	3	A	-1	A	11	A	25	A	3	A	10	A	8	A	7	A	10	A	0	A	4	A	9	A	9	A	9	A	11	A	10	A	17	A
"COL19A1 Collagen, type XIX, alpha 1"	D38163	-4	A	5	A	3	A	10	A	2	A	1	A	1	A	0	A	0	A	2	A	12	A	-4	A	3	A	2	A	11	A	-1	A	5	A
"NRAMP1 Natural resistance-associated macrophage protein 1 (might include Leishmaniasis)"	D38171	-4	A	-20	A	6	A	1	A	-4	A	-10	A	-2	A	-1	A	3	A	0	A	-1	A	-4	A	1	A	-2	A	-1	A	-2	A	1	A
"DNA-DIRECTED RNA POLYMERASE II 23 KD POLYPEPTIDE"	D38251	552	P	590	P	421	P	188	P	113	P	140	P	186	P	57	P	78	P	96	P	76	P	119	P	77	P	160	P	114	P	121	P	114	P
"Clathrin-like protein"	D38293	9	A	4	A	2	A	21	P	-1	A	1	A	2	A	5	A	6	A	15	A	13	A	6	A	3	A	54	P	29	P	24	P	31	P
"G protein-coupled receptor"	D38449	-22	A	-18	A	-16	A	-14	A	-2	A	-8	A	1994	M	-11	A	-1	A	-2	A	-5	A	-4	A	-6	A	7	A	-8	A	-6	A	-11	A
"HYPOTHETICAL MYELOID CELL LINE PROTEIN 7"	D38491	4	A	0	A	10	A	-2	A	1	A	0	A	-1	A	0	A	6	A	-4	A	-5	A	1	A	6	A	1	A	6	A	3	A	5	A
"LZTR-1"	D38496	-2	A	6	A	27	P	15	A	1	A	2	A	2	A	4	A	0	A	12	A	1	A	11	A	9	A	22	P	12	A	23	P	23	P
"KIAA0077 gene, partial cds"	D38521	59	P	77	P	95	P	30	P	19	A	39	P	26	P	12	A	47	P	48	P	40	P	35	P	64	P	13	P	28	P	41	P	26	P
"KIAA0080 gene, partial cds"	D38522	1	A	-3	A	-1	A	9	A	0	A	-4	A	1	A	-1	A	-2	A	4	A	8	A	18	P	1	A	-5	A	-2	A	7	A	0	A
"NT5 5' nucleotidase (CD73)"	D38524	1	A	-13	A	-2	A	8	A	-3	A	0	A	-1	A	5	A	8	A	9	A	6	A	3	A	3	A	1	A	-11	A	3	A	-1	A
"Protoporphyrinogen oxidase"	D38537_f	24	A	3	A	28	A	14	A	10	A	6	A	9	A	24	A	8	A	11	A	17	A	8	A	13	A	22	A	13	A	7	A	12	A
"Protoporphyrinogen oxidase"	D38537_i	-33	A	-6	A	-41	A	-9	A	-43	A	-59	A	-38	A	-51	A	-40	A	-40	A	-45	A	-70	A	-54	A	-68	A	-49	A	-76	A	-68	A
"KIAA0076 gene"	D38548_f	13	A	15	P	1	A	3	A	0	A	3	A	6	A	4	A	13	P	5	A	5	A	6	A	1	A	3	A	6	A	2	A	3	A
"KIAA0068 gene, partial cds"	D38549	86	P	116	P	125	P	247	P	22	P	46	P	27	P	99	P	37	P	28	P	50	P	24	P	55	P	22	P	23	P	24	P	20	P
"KIAA0075 gene, partial cds"	D38550	77	P	45	P	70	P	30	A	17	P	51	P	76	P	29	P	97	P	118	P	98	P	80	P	101	P	66	P	79	P	108	P	62	P
"KIAA0078 gene"	D38551	142	P	95	P	154	P	90	P	67	P	104	P	86	P	32	P	142	P	156	P	122	P	138	P	132	P	326	P	315	P	255	P	274	P
